#,tlcid,TLC Username,name,country,1A,1B,1C,2A,2B,2C,total,medal
48,,katzukatsu,katzukatsu (public),IDN,,,14,,,,14,
49,,galang,galang (student),IDN,,,,9,,,9,
50,,ipul23,ipul23 (public),IDN,,8,,,,,8,
51,,mhendryp,mhendryp (student),IDN,,,,,,,0,
51,,emeraldine_onyxta,emeraldine_onyxta (student),IDN,,,,,,,0,
51,,TommyLohil,TommyLohil (student),IDN,,,,,,,0,
51,,AlvinHariman,AlvinHariman (student),IDN,,,,,,,0,
51,,ariellariza,ariellariza (student),IDN,,,,,,,0,
51,,christyyy_a,christyyy_a (student),IDN,,,,,,,0,
51,,hubertwang,hubertwang (student),IDN,,,,,,,0,
51,,rizky_f,rizky_f (student),IDN,,,,,,,0,
51,,andrewdudu,andrewdudu (student),IDN,,,,,,,0,
51,,yogahmad,yogahmad (student),IDN,,,,,,,0,
51,,noviadri,noviadri (student),IDN,,,,,,,0,
51,,yoganandamahaputra,yoganandamahaputra (student),IDN,,,,,,,0,
51,,Marsa_Thoriq_A,Marsa_Thoriq_A (student),IDN,,,,,,,0,
51,,Eru,Eru (student),IDN,,,,,,,0,
51,,gracesilia,gracesilia (student),IDN,,,,,,,0,
51,,Gio_Maulany,Gio_Maulany (student),IDN,,,,,,,0,
51,,ichsanulakbar,ichsanulakbar (student),IDN,,,0,,,,0,
51,,arir23,arir23 (student),IDN,,,,,,,0,
51,,IrwantoK,IrwantoK (student),IDN,,,,,,,0,
51,,okugata_fahmi,okugata_fahmi (student),IDN,,,,,,,0,
51,,Rian4,Rian4 (student),IDN,,,,,,,0,
51,,seciawang,seciawang (student),IDN,,,,,,,0,
51,,Ashura_rary,Ashura_rary (student),IDN,,,,,,,0,
51,,dmas145,dmas145 (student),IDN,,,,,,,0,
51,,mastahacka,mastahacka (student),IDN,,,,,,,0,
51,,oosn2,oosn2 (student),IDN,,,,,,,0,
51,,codefire52,codefire52 (student),IDN,,,,,,,0,
51,,polan,polan (student),IDN,,,,,,,0,
51,,hocky,hocky (student),IDN,,,,,,,0,
51,,nx.al,nx.al (student),IDN,,,,,,,0,
51,,Aeramu,Aeramu (student),IDN,,,,,,,0,
51,,nugrahaa,nugrahaa (student),IDN,,,,,,,0,
51,,alamsyah10,alamsyah10 (student),IDN,,,,,,,0,
51,,DouglasRaevan,DouglasRaevan (student),IDN,,,,,,,0,
51,,drakhuze,drakhuze (student),IDN,,,,,,,0,
51,,Lungsin,Lungsin (student),IDN,,,,,,,0,
51,,gflyingcat,gflyingcat (student),IDN,,,,,,,0,
51,,Belliamega,Belliamega (student),IDN,,,,,,,0,
51,,Funtechccow,Funtechccow (student),IDN,,,,,,,0,
51,,ikraduya,ikraduya (student),IDN,,,,,,,0,
51,,anggar,anggar (student),IDN,,,,,,,0,
51,,sanlocoz,sanlocoz (student),IDN,,,,,,,0,
51,,fadhilah1611,fadhilah1611 (student),IDN,,,,,,,0,
51,,ferend,ferend (student),IDN,,,,,,,0,
51,,marcelljason,marcelljason (student),IDN,,,,,,,0,
51,,Dikachin,Dikachin (student),IDN,,,,,,,0,
51,,Gibran,Gibran (student),IDN,,,,,,,0,
51,,anonymous77,anonymous77 (student),IDN,,,,,,,0,
51,,victoriatjia,victoriatjia (student),IDN,,,,,,,0,
51,,kyonrevens,kyonrevens (student),IDN,,,,,,,0,
51,,akmal20,akmal20 (student),IDN,,,,,,,0,
51,,wahyudierwin,wahyudierwin (student),IDN,,,,,,,0,
51,,whitequill,whitequill (student),IDN,,,,,,,0,
51,,AVM.Martin,AVM.Martin (student),IDN,,,,,,,0,
51,,yuda123,yuda123 (student),IDN,,,,,,,0,
51,,Kirigaya_kazuto,Kirigaya_kazuto (student),IDN,,,,,,,0,
51,,yansenzhiang,yansenzhiang (student),IDN,,,,,,,0,
51,,jhony1923,jhony1923 (student),IDN,,,,,,,0,
51,,RofiAdnandi,RofiAdnandi (student),IDN,,,,,,,0,
51,,taufikalgi,taufikalgi (student),IDN,,,,,,,0,
51,,Firastic,Firastic (student),IDN,,,,,,,0,
51,,stefanusrenaldi,stefanusrenaldi (student),IDN,,,,,,,0,
51,,F_aziz14,F_aziz14 (student),IDN,,,,,,,0,
51,,nabil185,nabil185 (student),IDN,,,,,,,0,
51,,andre_polo,andre_polo (student),IDN,,,,,,,0,
51,,shunsui,shunsui (student),IDN,,,,,,,0,
51,,nashrullah29,nashrullah29 (student),IDN,,,,,,,0,
51,,aaaaaaaaaa,aaaaaaaaaa (student),IDN,,,,,,,0,
51,,razemage,razemage (student),IDN,,,,,,,0,
51,,fc5555,fc5555 (student),IDN,,,,,,,0,
51,,Maviar,Maviar (student),IDN,,,,,,,0,
51,,tiaryahya,tiaryahya (student),IDN,,,,,,,0,
51,,miner46er,miner46er (student),IDN,,,,,,,0,
51,,YA_,YA_ (student),IDN,,,,,,,0,
51,,d0ct0r4r6a,d0ct0r4r6a (public),IDN,,,,,,,0,
51,,Eric_Phe2,Eric_Phe2 (public),IDN,,,,,,,0,
51,,calvinkmts,calvinkmts (public),IDN,,,,,,,0,
51,,khaidir,khaidir (public),IDN,,,,,,,0,
51,,DhikeJKT48,DhikeJKT48 (public),IDN,,,,,,,0,
51,,deega,deega (public),IDN,,,,,,,0,
51,,muhsatrio,muhsatrio (public),IDN,,,,,,,0,
51,,maxhaibara,maxhaibara (public),IDN,,,,,,,0,
51,,baktistr,baktistr (public),IDN,,,,,,,0,
51,,edwinwijaya94,edwinwijaya94 (public),IDN,,,,,,,0,
51,,ivander_galvani,ivander_galvani (public),IDN,,,,,,,0,
51,,d3sm0n,d3sm0n (public),IDN,,,,,,,0,
51,,hanifadzkiya,hanifadzkiya (public),IDN,,,,,,,0,
51,,polan,polan (public),IDN,,,,,,,0,
51,,meirusfandi,meirusfandi (public),IDN,,,,,,,0,
51,,Ivan,Ivan (public),IDN,,,,,,,0,
51,,opel_howard,opel_howard (public),IDN,,,,,,,0,
51,,moonlight,moonlight (public),IDN,,,,,,,0,
51,,okugata_fahmi,okugata_fahmi (public),IDN,,,,,,,0,
51,,Dikachin,Dikachin (public),IDN,,,,,,,0,
51,,ChrisMaxheart,ChrisMaxheart (public),IDN,,,,,,,0,
51,,westphoenix1990,westphoenix1990 (public),IDN,,,,,,,0,
51,,wahyudierwin,wahyudierwin (public),IDN,,,,,,,0,
51,,Fahmi123456,Fahmi123456 (public),IDN,,,,,,,0,
51,,turis,turis (public),IDN,,,,,,,0,
51,,maulanakmal,maulanakmal (public),IDN,,,,,,,0,
51,,croodcash,croodcash (public),IDN,,,,,,,0,
51,,Kirigaya_kazuto,Kirigaya_kazuto (public),IDN,,,,,,,0,
51,,farisv,farisv (public),IDN,,,,,,,0,
51,,OwenUltima,OwenUltima (public),IDN,,,,,,,0,
51,,rizkiprof,rizkiprof (public),IDN,,,,,,,0,
51,,iverson,iverson (public),IDN,,,,,,,0,
51,,nicosetyawanh,nicosetyawanh (public),IDN,,,,,,,0,
51,,BLPCS2_vred95,BLPCS2_vred95 (public),IDN,,,,,,,0,
51,,golfin,golfin (public),IDN,,,,,,,0,
51,,wahyup21,wahyup21 (public),IDN,,,,,,,0,
51,,darmawanalbert,darmawanalbert (public),IDN,,,,,,,0,
51,,awi11.07,awi11.07 (public),IDN,,,,,,,0,
51,,adeyura,adeyura (public),IDN,,,,,,,0,
51,,Tuan_Eszha,Tuan_Eszha (public),IDN,,,,,,,0,
51,,brilianputraa,brilianputraa (public),IDN,,,,,,,0,
51,,sidiq_ha,sidiq_ha (public),IDN,,,,,,,0,
51,,cyber_ghost,cyber_ghost (public),IDN,,,,,,,0,
51,,fahmiamir15,fahmiamir15 (public),IDN,,,,,,,0,
51,,senacandrampc,senacandrampc (public),IDN,,,,,,,0,
51,,zntdf,zntdf (alumni),IDN,,,,,,,0,
51,,wahyudierwin,wahyudierwin (alumni),IDN,,,,,,,0,
51,,tirtaabimanyu,tirtaabimanyu (alumni),IDN,,,,,,,0,
51,,scrowten,scrowten (alumni),IDN,,,,,,,0,
51,,rkkautsar,rkkautsar (alumni),IDN,,,,,,,0,
51,,Rich_Richie,Rich_Richie (alumni),IDN,,,,,,,0,
51,,prabowo,prabowo (alumni),IDN,,,,,,,0,
51,,Kirigaya_kazuto,Kirigaya_kazuto (alumni),IDN,,,,,,,0,
51,,jauhararifin,jauhararifin (alumni),IDN,,,,,,,0,
51,,elarzaqiau,elarzaqiau (alumni),IDN,,,,,,,0,
51,,ebarhami,ebarhami (alumni),IDN,,,,,,,0,
51,,c790,c790 (alumni),IDN,,,,,,,0,
51,,arimetta,arimetta (alumni),IDN,,,,,,,0,
51,,doge,doge,,,,,,,,0,
51,,kevlee,kevlee,,,,,,,,0,
51,,YourRatzon,YourRatzon,,,,,,,,0,
51,,doanphuduc,doanphuduc,,,,,,,,0,
51,,TranPhat,TranPhat,,,,,,,,0,
51,,drakhuze,drakhuze,,,,,,,,0,
51,,Na2a,Na2a,,,,,,,,0,
51,,zscoder,zscoder,,,,,,,,0,
51,,bayramguwanjow,bayramguwanjow,,,,,,,,0,
51,,mekirez,mekirez,,,,,,,,0,
51,,animesh,animesh,,,,,,,,0,
51,,Rich_Richie,Rich_Richie,,,,,,,,0,
51,,rkkautsar,rkkautsar,,,,,,,,0,
51,,sampriti,sampriti,,,,,,,,0,
51,,Silver_Soul,Silver_Soul,,,,,,,,0,
51,,Barsic,Barsic,,,,0,,,,0,
51,,ivsaga23,ivsaga23,,,,,,,,0,
51,,NurlykhanKairly,NurlykhanKairly,,,,,,,,0,
51,,arthur.nascimento,arthur.nascimento,,,,,,,,0,
51,,Sumeet.Varma,Sumeet.Varma,,,,,,,,0,
51,,nib,nib,,,,,,,,0,
51,,ykaya,ykaya,,,,,,,,0,
51,,shreeyash,shreeyash,,,,,,,,0,
51,,underdog,underdog,,,,,,,,0,
51,,xanxiver,xanxiver,,,,,,,,0,
51,,mekici,mekici,,,,,,,,0,
51,,Kolokopo,Kolokopo,,,,,,,,0,
51,,Andrei1998,Andrei1998,,,,,,,,0,
51,,Zharaskhan,Zharaskhan,,,,,,,,0,
51,,AnuarTB,AnuarTB,,,,,,,,0,
51,,ajs97,ajs97,,,,,,,,0,
51,,Shaikhitdin,Shaikhitdin,,,,,,,,0,
51,,jay,jay,,,,,,,,0,
